status,cz_title,en_title,year,episode_count,categories,sample_video_id,sample_url,sample_title,reason,closest_db_match
missing,Pokémon,,,208,"serialy-cz-sk,serialy-cz-sk-titulky",21779,https://online.sktorrent.eu/video/21779/pokémon-s04e51-cz,Pokémon (S04E51)(CZ),"no episode link, no title match",
missing,Ben 10,,2016,168,serialy-cz-sk,22406,https://online.sktorrent.eu/video/22406/ben-10-2016-s05e03,Ben 10 (2016) S05E03,"no episode link, no title match",
missing,Will a Grace,,,146,serialy-cz-sk,43841,https://online.sktorrent.eu/video/43841/will-a-grace-s06e24-cz,Will a Grace / S06E24 CZ,"no episode link, no title match",
missing,Herkules,,,124,serialy-cz-sk,54210,https://online.sktorrent.eu/video/54210/herkules-s01e12-sk,Herkules (S01E12) (SK),"no episode link, no title match",
missing,Haikyuu!!,,,85,serialy-cz-sk-titulky,21919,https://online.sktorrent.eu/video/21919/haikyuu-s04e23-cz-tit,Haikyuu!! (S04E23)(CZ TIT),"no episode link, no title match",
missing,Dexter,,,84,serialy-cz-sk,42702,https://online.sktorrent.eu/video/42702/dexter-s08e12-cz,Dexter (S08E12) (CZ),"no episode link, no title match",Dexter: Nová krev / Dexter: New Blood  (sim=0.41)
missing,My Little Pony: Vyprávěj svůj příběh 70,,,69,serialy-cz-sk,34225,https://online.sktorrent.eu/video/34225/my-little-pony-vyprávěj-svůj-příběh-70,My Little Pony: Vyprávěj svůj příběh 70,"no episode link, no title match",
missing,Dr. House,,,67,serialy-cz-sk,38245,https://online.sktorrent.eu/video/38245/dr-house-s08e22-cz,Dr. House (S08E22) (CZ),"no episode link, no title match",
missing,Rodina Addamsovcov,,1964,62,serialy-cz-sk,40238,https://online.sktorrent.eu/video/40238/rodina-addamsovcov-1964-s02e30-sk,Rodina Addamsovcov (1964) S02E30 SK,"no episode link, no title match",
missing,Sběratelé-kostí,,,57,serialy-cz-sk,30141,https://online.sktorrent.eu/video/30141/sběratelé-kostí-3x14-a-15,Sběratelé-kostí-3x14-a-15,"no episode link, no title match",
missing,ŽIVOT NA ZÁMKU-05_Stopadesát_metrů_čtverečních,,,53,serialy-cz-sk,35411,https://online.sktorrent.eu/video/35411/Život-na-zÁmku-52-veselka,ŽIVOT NA ZÁMKU-52_Veselka,"no episode link, no title match",
missing,Alenka a Lewis 51,,,52,serialy-cz-sk,34411,https://online.sktorrent.eu/video/34411/alenka-a-lewis-51,Alenka a Lewis 51,"no episode link, no title match",
missing,Zdivocela-zeme,,1969,46,serialy-cz-sk,35328,https://online.sktorrent.eu/video/35328/zdivocela-zeme-s04e13-epilog-maderovy-petasedmdesate-narozeniny,Zdivocela-zeme-S04E13-Epilog---Maderovy-petasedmdesate-narozeniny,"no episode link, no title match",
missing,Preacher,,,43,serialy-cz-sk,42786,https://online.sktorrent.eu/video/42786/preacher-s04e10-cz,Preacher (S04E10) (CZ),"no episode link, no title match",Jack Reacher / Reacher  (sim=0.55)
missing,Muž z Vysokého zámku,The Man in the High Castle,,40,serialy-cz-sk,39047,https://online.sktorrent.eu/video/39047/muž-z-vysokého-zámku-the-man-in-the-high-castle-s04e10-cz,Muž z Vysokého zámku / The Man in the High Castle (S04E10) (CZ),"no episode link, no title match",
missing,Overlord,,,38,serialy-cz-sk-titulky,9607,https://online.sktorrent.eu/video/9607/overlord-s3e13,Overlord - s3e13,"no episode link, no title match",
missing,Death Note,,,37,serialy-cz-sk,21693,https://online.sktorrent.eu/video/21693/death-note-s01e37-cz,Death Note (S01E37)(CZ),"no episode link, no title match",Smrt v bílém plášti / Dr. Death  (sim=0.46)
missing,Dungeon ni Deai o Motomeru no wa Machigatteiru no Darou ka,,,37,serialy-cz-sk-titulky,14428,https://online.sktorrent.eu/video/14428/dungeon-ni-deai-o-motomeru-no-wa-machigatteiru-no-darou-ka-s3e12,Dungeon ni Deai o Motomeru no wa Machigatteiru no Darou ka - s3e12,"no episode link, no title match",
missing,Date a Live,,,34,serialy-cz-sk-titulky,17038,https://online.sktorrent.eu/video/17038/date-a-live-s2e10,Date a Live s2e10,"no episode link, no title match",
missing,Alexa a Katie,Alexa & Katie,,31,serialy-cz-sk,5493,https://online.sktorrent.eu/video/5493/alexa-a-katie-alexa-amp-katie-s03e08-panika-na-minigolfu-cz,Alexa a Katie / Alexa &amp;amp; Katie - S03E08 - Panika na minigolfu (CZ),"no episode link, no title match",
missing,Nezastavitelný žlutý yeti,,,26,serialy-cz-sk,29264,https://online.sktorrent.eu/video/29264/nezastavitelný-žlutý-yeti-s01e25,Nezastavitelný žlutý yeti S01E25,"no episode link, no title match",
missing,World Trigger S2 - 09,,,26,"serialy-cz-sk,serialy-cz-sk-titulky",17352,https://online.sktorrent.eu/video/17352/world-trigger-s2-09,World Trigger S2 - 09,"no episode link, no title match",
missing,Hitori no Shita: The Outcast S2  24,,,25,serialy-cz-sk-titulky,14015,https://online.sktorrent.eu/video/14015/hitori-no-shita-the-outcast-s2-24,Hitori no Shita: The Outcast S2  24,"no episode link, no title match",
missing,Strike the blood -24,,,25,serialy-cz-sk-titulky,8781,https://online.sktorrent.eu/video/8781/strike-the-blood-24,Strike the blood -24,"no episode link, no title match",
missing,V plamenech,,,24,serialy-cz-sk,33309,https://online.sktorrent.eu/video/33309/v-plamenech-s02e14,V plamenech s02e14,"no episode link, no title match",
missing,Gakusen Toshi Asterisk 2 -12,,,24,"serialy-cz-sk,serialy-cz-sk-titulky",9684,https://online.sktorrent.eu/video/9684/gakusen-toshi-asterisk-2-12,Gakusen Toshi Asterisk 2 -12,"no episode link, no title match",
